#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
265.0,2411,2052.719956
250.0,2341,2056.199284
265.0,2301,2059.288322
210.0,2189,2061.937782
600.0,3333,2066.405587
195.0,1693,2068.458058
215.0,2423,2071.609612
310.0,3133,2075.811762
370.0,2479,2079.009201
345.0,2779,2082.661529
495.0,2567,2085.875986
75.0,1671,2088.132584
240.0,2117,2091.095736
100.0,1511,2092.882558
110.0,2081,2096.00309
260.0,2693,2099.670462
370.0,2183,2102.522645
295.0,3433,2107.046449
80.0,1567,2109.487469
460.0,4481,2115.172861
305.0,2455,2118.591242
200.0,1775,2121.317054
235.0,2325,2124.29648
340.0,2949,2128.042663
150.0,2449,2131.131256
200.0,1781,2133.764123
730.0,3697,2138.504888
295.0,2463,2142.111156
380.0,3105,2145.975704
235.0,3171,2150.09968
20.0,1613,2152.532196
250.0,2531,2164.961393
255.0,2309,2167.876623
170.0,1995,2170.539008
410.0,3357,2174.899828
345.0,3843,2179.774747
365.0,2959,2183.647741
265.0,2259,2186.657606
385.0,3631,2191.45311
570.0,4431,2197.208331
455.0,2871,2200.858597
675.0,3921,2205.829858
465.0,3893,2210.940074
425.0,2623,2214.326153
380.0,4387,2219.92277
240.0,2309,2223.213061
405.0,2821,2226.960772
500.0,3577,2231.445692
125.0,1505,2233.420757
110.0,1489,2235.167332
330.0,2737,2238.829478
510.0,2927,2243.014451
210.0,1715,2245.334488
310.0,3827,2250.090368
170.0,1585,2252.355095
180.0,1987,2254.724455
275.0,2565,2258.095582
255.0,3317,2262.69355
125.0,2015,2265.141584
335.0,2723,2268.626036
365.0,3237,2273.050228
345.0,2807,2276.875858
450.0,2515,2280.089346
445.0,2367,2283.113851
520.0,3813,2288.100457
305.0,3079,2292.00276
450.0,2611,2306.22995
350.0,2471,2309.431419
250.0,2725,2313.21703
395.0,3009,2317.183889
275.0,2379,2320.365206
275.0,3173,2324.470118
440.0,3189,2328.575867
135.0,1403,2330.536539
280.0,2603,2334.012912
270.0,2225,2336.822727
60.0,1601,2339.10184
245.0,1725,2341.306844
475.0,2457,2344.442536
270.0,3053,2348.533979
370.0,2523,2351.794723
365.0,3661,2356.323595
385.0,2931,2360.150053
450.0,4363,2366.044991
110.0,1451,2367.847808
410.0,3359,2372.34634
340.0,2341,2375.292745
415.0,2976,2379.213645
160.0,1933,2381.595493
485.0,3329,2386.08004
560.0,3290,2390.468311
495.0,3765,2395.270128
250.0,2579,2398.792601
320.0,2113,2401.326355
270.0,2017,2404.090564
480.0,4433,2409.938923
260.0,2023,2412.556271
470.0,3341,2416.85278
175.0,2687,2420.331947
715.0,4625,2426.461529
455.0,2473,2429.660028
350.0,2647,2433.15596
630.0,5073,2450.571553
465.0,3949,2455.87741
245.0,2775,2459.576823
510.0,3119,2463.82021
170.0,1899,2466.245254
190.0,1743,2469.04679
280.0,2139,2471.779351
415.0,3919,2477.112524
455.0,3099,2481.131704
190.0,1899,2483.854464
510.0,2861,2487.66317
190.0,2041,2490.204636
615.0,4089,2495.902823
140.0,1949,2498.419672
215.0,2619,2501.877587
330.0,2343,2504.844245
355.0,2623,2508.544871
335.0,2668,2512.13697
380.0,3169,2516.513933
750.0,4255,2522.113422
515.0,4488,2527.857147
170.0,1977,2530.513782
215.0,2525,2533.64349
105.0,1491,2535.651832
295.0,2667,2539.04116
150.0,1619,2541.22419
625.0,3879,2546.239413
180.0,2007,2548.806193
315.0,2435,2552.101608
430.0,3744,2557.078653
300.0,2323,2560.24709
325.0,2727,2564.048275
600.0,3927,2569.228163
360.0,3463,2573.83064
580.0,2881,2577.693666
190.0,1897,2580.363074
415.0,3235,2584.897274
670.0,4069,2600.817441
335.0,2639,2604.176219
550.0,3815,2608.956321
455.0,3025,2613.188123
320.0,2753,2616.974269
415.0,3203,2621.233412
300.0,3169,2625.229241
550.0,3779,2630.086071
450.0,3709,2635.205999
475.0,3617,2640.121248
80.0,1651,2642.20619
650.0,3777,2647.304146
545.0,2609,2650.766374
275.0,2467,2654.186162
280.0,2759,2657.613544
315.0,2535,2660.987827
425.0,3181,2665.041081
420.0,2531,2668.316114
285.0,3235,2672.584837
315.0,2821,2676.080962
280.0,2977,2679.836953
330.0,2558,2683.196218
490.0,3875,2688.139377
215.0,2345,2691.117266
565.0,3121,2695.42613
280.0,2597,2698.698569
420.0,3121,2702.754608
395.0,3621,2707.359807
210.0,1705,2709.401494
155.0,1825,2711.886179
365.0,2877,2715.711661
